,City,country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,saint-pierre,RE,-21.3393,55.4781,77.0,73,90,21.85,1619490028
1,cape town,ZA,-33.9258,18.4232,63.0,94,90,3.44,1619489889
2,punta arenas,CL,-53.15,-70.9167,42.8,100,90,3.44,1619489651
3,hermanus,ZA,-34.4187,19.2345,61.0,88,98,2.66,1619489890
4,qaanaaq,GL,77.484,-69.3632,35.6,69,100,7.31,1619490404
5,kaitangata,NZ,-46.2817,169.8464,46.99,74,99,10.0,1619490404
6,gamba,GA,-2.65,10.0,77.41,90,99,4.99,1619490404
7,lodhikheda,IN,21.5833,78.8333,82.4,42,40,4.65,1619490405
8,abu dhabi,AE,24.4667,54.3667,84.2,28,0,3.44,1619490405
9,hobart,AU,-42.8794,147.3294,64.99,48,20,8.05,1619490405
10,zyryanka,RU,65.75,150.85,27.88,75,14,14.97,1619490405
11,la paz centro,NI,12.34,-86.6753,84.2,74,40,9.22,1619490406
12,sisimiut,GL,66.9395,-53.6735,33.69,99,100,6.51,1619490406
13,puerto ayora,EC,-0.7393,-90.3518,75.0,90,37,4.97,1619489892
14,kamina,CD,-8.7386,24.9906,65.17,93,100,2.8,1619490407
15,kavieng,PG,-2.5744,150.7967,83.57,70,51,3.65,1619489893
16,mahebourg,MU,-20.4081,57.7,77.0,88,75,8.05,1619489630
17,viking,CA,53.1001,-111.7684,50.0,23,91,10.36,1619490407
18,ciudad bolivar,VE,8.1222,-63.5497,85.82,51,97,14.03,1619490407
19,cabo san lucas,MX,22.8909,-109.9124,73.0,72,90,13.8,1619489837
20,saint-philippe,RE,-21.3585,55.7679,77.0,73,90,21.85,1619489893
21,vaini,TO,-21.2,-175.2,75.2,94,90,5.75,1619489894
22,nanortalik,GL,60.1432,-45.2371,34.12,93,80,10.04,1619489894
23,ponta do sol,PT,32.6667,-17.1,59.0,76,68,3.0,1619489894
24,mataura,NZ,-46.1927,168.8643,48.99,65,82,8.99,1619489895
25,sao jose da coroa grande,BR,-8.8978,-35.1478,77.67,81,46,6.15,1619489895
26,saint george,US,37.1041,-113.5841,57.0,54,1,11.5,1619489600
27,laguna,US,38.421,-121.4238,64.4,25,1,5.75,1619490409
28,santa fe,AR,-31.6333,-60.7,62.01,85,1,1.01,1619490409
29,busselton,AU,-33.65,115.3333,73.99,77,50,1.01,1619489896
30,ushuaia,AR,-54.8,-68.3,42.8,81,75,2.3,1619489896
31,lebu,CL,-37.6167,-73.65,53.38,88,26,9.53,1619489896
32,atambua,ID,-9.1061,124.8925,80.87,44,17,0.27,1619490221
33,guiratinga,BR,-16.3494,-53.7583,67.01,96,26,2.66,1619490410
34,marquette,US,46.5333,-87.6335,35.01,93,100,9.89,1619490147
35,askarovo,RU,53.3372,58.5089,37.4,60,20,8.95,1619490411
36,rikitea,PF,-23.1203,-134.9692,78.13,72,100,6.98,1619490374
37,kieta,PG,-6.2167,155.6333,85.21,71,81,3.11,1619489897
38,kapaa,US,22.0752,-159.319,77.0,65,20,8.05,1619489898
39,fuling,CN,29.7022,107.3919,68.07,80,92,2.08,1619490411
40,vila franca do campo,PT,37.7167,-25.4333,59.0,82,75,9.22,1619489898
41,bethel,US,41.3712,-73.414,50.0,32,1,4.41,1619489899
42,santa lucia,ES,27.9117,-15.5407,66.2,77,75,8.05,1619490324
43,zhob,PK,31.3411,69.4481,72.7,25,1,0.98,1619490412
44,vacaresti,RO,44.85,25.4833,50.0,71,0,10.36,1619490413
45,fort nelson,CA,58.8053,-122.7002,23.0,86,90,8.05,1619490413
46,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,33.8,100,90,5.35,1619489899
47,mahibadhoo,MV,3.7833,72.9667,82.99,72,46,6.85,1619490192
48,bluff,NZ,-46.6,168.3333,48.99,65,85,8.99,1619489900
49,rayachoti,IN,14.05,78.75,81.39,67,2,4.29,1619490413
50,vardo,NO,70.3705,31.1107,32.97,57,98,16.13,1619489900
51,port blair,IN,11.6667,92.75,83.77,67,97,3.56,1619490414
52,faanui,PF,-16.4833,-151.75,81.25,68,69,4.88,1619489820
53,hovd,MN,48.0056,91.6419,41.02,22,20,1.61,1619490415
54,atuona,PF,-9.8,-139.0333,79.83,75,91,15.23,1619489901
55,zhanaozen,KZ,43.3,52.8,57.92,59,32,12.39,1619490416
56,jamestown,US,42.097,-79.2353,46.99,42,75,6.91,1619489901
57,grand-santi,GF,4.25,-54.3833,73.53,99,100,2.89,1619490417
58,dikson,RU,73.5069,80.5464,31.78,98,100,17.47,1619489902
59,oistins,BB,13.0667,-59.5333,78.8,65,40,14.97,1619490200
60,iqaluit,CA,63.7506,-68.5145,21.2,86,90,17.27,1619489902
61,norman wells,CA,65.282,-126.8329,17.6,35,75,3.44,1619489810
62,vila velha,BR,-20.3297,-40.2925,75.2,94,20,2.3,1619490336
63,miragoane,HT,18.4423,-73.0876,78.22,76,2,7.29,1619490417
64,tommot,RU,58.9564,126.2925,37.02,92,100,10.04,1619490418
65,laredo,US,27.5064,-99.5075,86.0,58,1,19.57,1619490156
66,arraial do cabo,BR,-22.9661,-42.0278,74.89,78,100,3.18,1619489903
67,puro,PH,12.4841,123.3827,83.03,67,43,8.97,1619490418
68,sao francisco,BR,-15.9486,-44.8644,76.42,57,81,1.72,1619490419
69,barrow,US,71.2906,-156.7887,21.2,68,1,17.27,1619489783
70,clyde river,CA,70.4692,-68.5914,24.8,100,90,2.3,1619489904
71,jacareacanga,BR,-6.2222,-57.7528,72.77,99,100,0.98,1619490420
72,matamoros,MX,25.5333,-103.25,89.6,8,75,13.06,1619489905
73,kodiak,US,57.79,-152.4072,42.8,87,90,17.27,1619489869
